Country,Region,Rank,Score,GDP,Family,Health,Freedom,Corruption,Year
Kyrgyzstan,,86,5.261,0.551,0.88588,0.723,0.508,0.023,2019
Turkmenistan,,87,5.247,1.052,1.00964,0.657,0.394,0.028,2019
Algeria,,88,5.211,1.002,1.13935,0.785,0.086,0.114,2019
Morocco,,89,5.208,0.801,1.09562,0.782,0.418,0.076,2019
Azerbaijan,,90,5.208,1.043,1.03516,0.769,0.351,0.182,2019
Lebanon,,91,5.197,0.987,0.95152,0.815,0.216,0.027,2019
Indonesia,,92,5.192,0.931,0.64095,0.66,0.491,0.028,2019
China,,93,5.191,1.029,1.00232,0.893,0.521,0.1,2019
Vietnam,,94,5.175,0.741,1.02626,0.851,0.543,0.073,2019
Bhutan,,95,5.082,0.813,0.80434,0.604,0.457,0.167,2019
Cameroon,,96,5.044,0.549,0.91916,0.331,0.381,0.037,2019
Bulgaria,,97,5.011,1.092,1.04103,0.815,0.311,0.004,2019
Ghana,,98,4.996,0.611,1.17202,0.486,0.381,0.04,2019
Ivory Coast,,99,4.944,0.569,0.73803,0.232,0.352,0.09,2019
Nepal,,100,4.913,0.446,1.3006,0.677,0.439,0.089,2019
Jordan,,101,4.906,0.837,1.07284,0.815,0.383,0.13,2019
Benin,,102,4.883,0.393,0.92933,0.397,0.349,0.082,2019
Congo (Brazzaville),,103,4.812,0.673,0.80001,0.508,0.372,0.093,2019
Gabon,,104,4.799,1.057,1.20215,0.571,0.295,0.055,2019
Laos,,105,4.796,0.764,0.95348,0.551,0.547,0.164,2019
South Africa,,106,4.722,0.96,0.85563,0.469,0.389,0.055,2019
Albania,,107,4.719,0.947,0.60429,0.874,0.383,0.027,2019
Venezuela,,108,4.707,0.96,0.92558,0.805,0.154,0.047,2019
Cambodia,,109,4.7,0.574,0.43106,0.637,0.609,0.062,2019
Palestinian Territories,,110,4.696,0.657,0.54447,0.672,0.225,0.066,2019
Senegal,,111,4.681,0.45,1.20278,0.571,0.292,0.072,2019
Somalia,,112,4.668,0,0.81889,0.268,0.559,0.27,2019
Namibia,,113,4.639,0.879,1.18468,0.477,0.401,0.056,2019
Niger,,114,4.628,0.138,0.67954,0.366,0.318,0.102,2019
Burkina Faso,,115,4.587,0.331,1.03276,0.38,0.255,0.113,2019
Armenia,,116,4.559,0.85,0.78968,0.815,0.283,0.064,2019
Iran,,117,4.548,1.1,0.38174,0.785,0.305,0.125,2019
Guinea,,118,4.534,0.38,1.01404,0.375,0.332,0.086,2019
Georgia,,119,4.519,0.886,0.74302,0.752,0.346,0.164,2019
Gambia,,120,4.516,0.308,1.0012,0.428,0.382,0.167,2019
Kenya,,121,4.509,0.512,0.86449,0.581,0.431,0.053,2019
Mauritania,,122,4.49,0.57,0.60406,0.489,0.066,0.088,2019
Mozambique,,123,4.466,0.204,0.95571,0.39,0.494,0.138,2019
Tunisia,,124,4.461,0.921,0.86908,0.815,0.167,0.055,2019
Bangladesh,,125,4.456,0.562,0.99876,0.723,0.527,0.143,2019
Iraq,,126,4.437,1.043,0.59207,0.574,0.241,0.089,2019
Congo (Kinshasa),,127,4.418,0.094,0.77711,0.357,0.269,0.053,2019
Mali,,128,4.39,0.385,1.10464,0.308,0.327,0.052,2019
Sierra Leone,,129,4.374,0.268,0.70905,0.242,0.309,0.045,2019
Sri Lanka,,130,4.366,0.949,0.38562,0.831,0.47,0.047,2019
Myanmar,,131,4.36,0.71,0.41134,0.555,0.525,0.172,2019
Chad,,132,4.35,0.35,1.01905,0.192,0.174,0.078,2019
Ukraine,,133,4.332,0.82,0.88767,0.739,0.178,0.01,2019
Ethiopia,,134,4.286,0.336,1.10614,0.532,0.344,0.1,2019
Swaziland,,135,4.212,0.811,0.747,0,0.313,0.135,2019
Uganda,,136,4.189,0.332,0.68093,0.443,0.356,0.06,2019
Egypt,,137,4.166,0.913,0.8604,0.644,0.241,0.067,2019
Zambia,,138,4.107,0.578,1.03526,0.426,0.431,0.087,2019
Togo,,139,4.085,0.275,0.6629,0.41,0.293,0.085,2019
India,,140,4.015,0.755,0.79273,0.588,0.498,0.085,2019
Liberia,,141,3.975,0.073,1.13299,0.443,0.37,0.033,2019
Comoros,,142,3.973,0.274,0.97619,0.505,0.142,0.078,2019
Madagascar,,143,3.933,0.274,0.90528,0.555,0.148,0.041,2019
Lesotho,,144,3.802,0.489,0.77265,0.168,0.359,0.093,2019
Burundi,,145,3.775,0.046,0.62736,0.38,0.22,0.18,2019
Zimbabwe,,146,3.663,0.366,1.00268,0.433,0.361,0.089,2019
Haiti,,147,3.597,0.323,0.66801,0.449,0.026,0.11,2019
Botswana,,148,3.488,1.041,0,0.538,0.455,0.1,2019
Syria,,149,3.462,0.619,0.76062,0.44,0.013,0.141,2019
Malawi,,150,3.41,0.191,0.46475,0.495,0.443,0.089,2019
Yemen,,151,3.38,0.287,0.77115,0.463,0.143,0.077,2019
Rwanda,,152,3.334,0.359,0.85188,0.614,0.555,0.411,2019
Tanzania,,153,3.231,0.476,0.30285,0.499,0.417,0.147,2019
Afghanistan,,154,3.203,0.35,0.7737,0.361,0,0.025,2019
Central African Republic,,155,3.083,0.026,0.35386,0.105,0.225,0.035,2019
South Sudan,,156,2.853,0.306,0.47489,0.295,0.01,0.091,2019
